Strategy,TOTAL,GradientDescentStrategy,RandomStrategy,LengthTaintStrategy,RandomTaintStrategy,MagicByteStrategy,OneByteStrategy,ConcolicStrategy
0-9%,1407,39.66,49.68,1.71,36.03,37.10,30.70,44.14
10-19%,1051,28.35,22.17,0.95,22.45,27.40,19.03,22.84
20-29%,674,12.02,12.46,0.74,13.20,11.42,12.02,13.95
30-39%,300,17.67,14.33,1.00,18.33,16.33,18.33,16.67
40-49%,267,0.37,0.37,0.00,0.75,0.37,0.75,0.37
50-59%,452,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60-69%,247,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70-79%,177,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80-89%,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90-100%,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
