nrOfOffsets;cyclomatic;oviedo;chain_size;cases
0;0;0;0;0
2;70;436;4;-
1;269;1783;9;11
53;5;68;10;10
3;-;-;-;22
5;26;346;13;9
113;67;316;7;24
4;228;954;61;6
6;395;1971;34;3
7;81;348;47;5
52;46;270;5;2
59;99;1146;11;13
127;32;153;16;8
56;52;187;12;7
11;172;849;22;4
131;14;59;18;15
116;25;961;2;14
57;10;144;64;16
12;33;1976;51;25
120;30;98;3;#N/A
71;3;143;55;
44;21;317;57;
61;12;139;8;
10;18;30;19;
16;22;137;1;
13;34;71;31;
119;9;141;15;
70;36;44;65;
125;6;158;53;
121;68;250;14;
14;17;127;48;
101;4;41;52;
109;7;156;6;
19;171;180;58;
8;44;47;38;
91;13;168;29;
67;60;366;17;
112;50;86;62;
#N/A;#N/A;21;28;
;;89;23;
;;14;56;
;;34;20;
;;167;24;
;;61;70;
;;79;25;
;;69;45;
;;1631;26;
;;92;60;
;;311;33;
;;114;30;
;;288;27;
;;27;59;
;;113;44;
;;342;21;
;;52;49;
;;#N/A;#N/A;
